date,sessions,users,new_sessions,pageviews,pages_per_session,ave_session_duration,bounce_rate,scroll_videopromo,scroll_whatstoutbay,scroll_howitworks,scroll_faq,scroll_latestfeeds,chrome,safari,firefox,internet_explorer,windows,macintosh,ios,android
4/12/14,2,2,100,2,1,00:00:00,100,0,0,0,0,0,0,1,1,0,0,0,1,0
4/13/14,0,0,0,0,0,00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/14/14,4,4,75,9,2.25,00:02:13,25,0,0,0,0,0,1,2,1,0,1,0,2,1
4/15/14,7,7,85.71,19,2.71,00:01:15,42.86,0,0,0,0,0,3,2,0,2,3,3,1,0
4/16/14,5,4,40,20,4,00:01:23,40,0,0,0,0,0,1,3,1,0,2,1,2,0
4/17/14,11,7,54.55,34,3.09,00:01:33,27.27,7,3,2,1,1,2,5,0,1,2,0,5,4
4/18/14,5,5,80,24,4.8,00:03:59,20,7,6,2,2,1,2,1,0,2,4,1,0,0
4/19/14,1,1,100,1,1,00:00:00,100,1,1,1,1,1,1,0,0,0,0,0,0,1
4/20/14,5,4,60,33,6.6,00:07:43,20,6,5,4,4,4,3,1,1,0,2,0,1,2
4/21/14,9,8,77.78,29,3.22,00:03:51,33.33,12,8,7,6,4,4,0,3,2,6,0,0,3
4/22/14,5,5,100,13,2.6,00:01:13,60,6,6,5,4,3,3,0,0,0,0,2,0,3
4/23/14,11,11,81.82,21,1.91,00:04:15,54.55,10,7,6,6,4,8,1,2,0,5,5,1,0
4/24/14,5,5,60,10,2,00:01:53,60,3,3,3,2,2,3,2,0,0,2,1,2,0
4/25/14,2,2,50,2,1,00:00:00,100,1,0,0,0,0,0,0,2,0,2,0,0,0
4/26/14,0,0,0,0,0,00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/27/14,9,8,66.67,14,1.56,00:01:42,66.67,5,3,2,1,1,3,3,1,2,3,0,3,1
4/28/14,3,3,100,3,1,00:00:00,100,2,2,1,1,0,2,0,0,1,2,0,0,0
4/29/14,9,9,88.89,18,2,00:01:16,44.44,4,3,3,3,3,5,0,3,1,8,1,0,0
4/30/14,6,6,100,14,2.33,00:01:40,50,4,1,1,1,1,5,1,0,0,3,2,0,0
5/1/14,3,4,100,3,1,00:00:00,100,4,3,3,3,2,1,1,0,1,1,1,0,1
5/2/14,1,1,100,2,2,00:04:10,0,1,1,1,1,1,1,0,0,0,1,0,0,0
5/3/14,1,1,100,1,1,00:00:00,100,1,1,1,1,0,1,0,0,0,1,0,0,0
5/4/14,2,1,50,2,1,00:00:00,100,0,0,0,0,0,0,0,2,0,2,0,0,0
5/5/14,8,6,62.5,39,4.88,00:03:18,50,10,7,7,6,2,6,1,1,0,5,1,1,0
5/6/14,4,3,75,19,4.75,00:08:38,0,3,2,2,1,0,1,0,1,2,3,0,0,1
5/7/14,3,3,100,3,1,00:00:00,100,3,2,1,1,0,2,1,0,0,1,2,0,0
5/8/14,7,7,85.71,13,1.86,00:01:24,57.14,4,4,3,3,1,2,3,2,0,2,4,1,0
5/9/14,2,2,50,2,1,00:00:00,100,2,2,2,2,1,2,0,0,0,2,0,0,0
5/10/14,1,1,100,1,1,00:00:00,100,1,1,0,0,0,0,0,1,0,1,0,0,0
5/11/14,2,2,100,4,2,00:00:53,50,2,2,1,1,1,0,1,1,0,1,0,1,0
5/12/14,3,3,66.67,10,3.33,00:00:57,33.33,3,3,2,2,1,2,0,0,1,3,0,0,0
5/13/14,0,0,0,0,0,00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/14/14,1,1,100,12,12,00:12:20,0,2,1,1,1,1,1,0,0,0,1,0,0,0
5/15/14,5,4,80,24,4.8,00:06:19,20,6,4,4,3,3,4,1,0,0,4,1,0,0
5/16/14,3,3,100,7,2.33,00:01:00,66.67,1,1,1,1,1,1,2,0,0,0,1,0,0
5/17/14,0,0,0,0,0,00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/18/14,2,1,50,4,2,00:01:33,0,2,1,1,1,1,2,0,0,0,2,0,0,0
5/19/14,1,1,0,1,1,00:00:00,100,0,0,0,0,0,1,0,0,0,0,0,0,1
